"Placa";"Vaga";"Categoria Demora";"Data Inicial";"Data Final";"Tempo Indisponível (HH:MM)"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Bloqueio";"25/07/2025 11:53:57";"25/07/2025 13:15:54";"01:22"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Refeição Motorista";"25/07/2025 11:56:08";"25/07/2025 12:55:00";"00:59"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Refeição Motorista";"25/07/2025 12:00:32";"25/07/2025 13:00:35";"01:00"
"EAM3256";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Refeição Motorista";"25/07/2025 12:09:35";"25/07/2025 13:09:41";"01:00"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Descarregando equipamento";"25/07/2025 12:13:27";"25/07/2025 12:57:59";"00:45"
"HJS1097";"CAMINHÃO AUTO VÁCUO - GPS - 03";"Refeição Motorista";"25/07/2025 12:31:14";"25/07/2025 13:34:21";"01:03"
"EZS8764";"CAMINHÃO ALTA PRESSÃO - GPS - 03";"Refeição Motorista";"25/07/2025 12:31:41";"25/07/2025 13:31:42";"01:00"
"LUX-3201";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Abastecimento (Água)";"25/07/2025 12:39:48";"25/07/2025 12:52:26";"00:13"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Descarregando equipamento";"25/07/2025 12:43:34";"25/07/2025 12:49:36";"00:06"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Aguardando Área";"25/07/2025 12:46:20";"25/07/2025 13:28:49";"00:42"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Pausas Diversas (água, banheiro)";"25/07/2025 12:51:13";"25/07/2025 12:55:48";"00:05"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Documentação";"25/07/2025 12:54:06";"25/07/2025 13:07:27";"00:13"
"EGC2978";"CAMINHÃO ALTA PRESSÃO - GPS - 09";"Refeição Motorista";"25/07/2025 12:54:14";"25/07/2025 13:54:54";"01:01"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Preparação";"25/07/2025 12:55:13";"25/07/2025 12:58:08";"00:03"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Aguardando Área";"25/07/2025 13:02:11";"25/07/2025 15:50:54";"02:49"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Refeição Motorista";"25/07/2025 13:06:35";"25/07/2025 14:07:35";"01:01"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Refeição Motorista";"25/07/2025 13:11:18";"25/07/2025 14:11:23";"01:00"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Refeição Motorista";"25/07/2025 13:16:05";"25/07/2025 14:02:17";"00:46"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Troca de Equipamento";"25/07/2025 13:16:40";"25/07/2025 13:16:43";"00:00"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Refeição Motorista";"25/07/2025 13:16:52";"25/07/2025 14:18:20";"01:01"
"FMD2200";"CAMINHÃO HIPER VÁCUO - GPS - 02";"Refeição Motorista";"25/07/2025 13:18:46";"25/07/2025 14:18:48";"01:00"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Aguardando Área";"25/07/2025 13:19:36";"25/07/2025 14:39:42";"01:20"
"LUX-3201";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Refeição Motorista";"25/07/2025 13:29:51";"25/07/2025 14:29:59";"01:00"
"DSY6473";"CAMINHÃO AUTO VÁCUO - GPS - 06";"Refeição Motorista";"25/07/2025 13:42:57";"25/07/2025 14:42:58";"01:00"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Descarregando equipamento";"25/07/2025 13:53:47";"25/07/2025 14:24:12";"00:30"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Refeição Motorista";"25/07/2025 13:57:57";"25/07/2025 14:47:31";"00:50"
"EGC2978";"CAMINHÃO ALTA PRESSÃO - GPS - 09";"Abastecimento (Água)";"25/07/2025 14:01:56";"25/07/2025 14:20:33";"00:19"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Abastecimento (Água)";"25/07/2025 14:07:42";"25/07/2025 14:07:46";"00:00"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Descarregando equipamento";"25/07/2025 14:07:58";"25/07/2025 14:18:56";"00:11"
